list_name,condition,letter,list,count,list_condition,prompt
planets in the solar system,contains,a,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",4,"['earth', 'mars', 'saturn', 'uranus']","How many planets in the solar system contains letter a. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,b,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter b. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,c,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['mercury'],"How many planets in the solar system contains letter c. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,d,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter d. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,e,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",5,"['mercury', 'venus', 'earth', 'jupiter', 'neptune']","How many planets in the solar system contains letter e. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,f,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter f. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,g,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter g. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,h,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['earth'],"How many planets in the solar system contains letter h. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,i,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['jupiter'],"How many planets in the solar system contains letter i. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,j,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['jupiter'],"How many planets in the solar system contains letter j. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,k,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter k. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,l,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter l. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,m,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",2,"['mercury', 'mars']","How many planets in the solar system contains letter m. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,n,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",4,"['venus', 'saturn', 'uranus', 'neptune']","How many planets in the solar system contains letter n. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,o,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter o. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,p,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",2,"['jupiter', 'neptune']","How many planets in the solar system contains letter p. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,q,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter q. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,r,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",6,"['mercury', 'earth', 'mars', 'jupiter', 'saturn', 'uranus']","How many planets in the solar system contains letter r. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,s,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",4,"['venus', 'mars', 'saturn', 'uranus']","How many planets in the solar system contains letter s. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,t,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",4,"['earth', 'jupiter', 'saturn', 'neptune']","How many planets in the solar system contains letter t. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,u,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",6,"['mercury', 'venus', 'jupiter', 'saturn', 'uranus', 'neptune']","How many planets in the solar system contains letter u. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,v,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['venus'],"How many planets in the solar system contains letter v. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,w,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter w. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,x,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter x. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,y,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['mercury'],"How many planets in the solar system contains letter y. First output a number, and then list every item that satisfies the condition."
planets in the solar system,contains,z,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system contains letter z. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,a,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter a. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,b,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter b. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,c,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter c. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,d,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter d. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,e,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['earth'],"How many planets in the solar system starts with letter e. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,f,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter f. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,g,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter g. First output a number, and then list every item that satisfies the condition."
